crn	department	course_number	title	instructors	credits	time	days	campus	quarter
22149	BME	680-0	Digital Signal Processing	Kain\Jacobs	3	1430-1600	T,Th	Portland	Winter 19
22050	BME	690-0	Topics in Nanomedicine	Yantasee\Vu	3	1000-1130	M,W	Portland	Winter 19
21623	BMI	505F-0	Reading and Conference-Fellows	Weiskopf\Wu	1-5	1245-1345	Th	Portland	Winter 19
21360	BMI	510-DL	Intro to Biomed Informatics	Hersh, Bill	3	Online	Online	Online	Winter 19
21925	BMI	516-DL	Standards/Interoperability HC	Orwoll, Benjamin	3	Online	Online	Online	Winter 19
21361	BMI	518-DL	Project Management	McCormack, James	3	Online	Online	Online	Winter 19
21545	BMI	520-DL	Consumer Health Informatics	Valerius, Joanne	3	Online	Online	Online	Winter 19
21733	BMI	535-0	Mgmt & Processing Large Data	Mooney\Zheng	3	1300-1430	T,F	Portland	Winter 19
21362	BMI	538-DL	Medical Decision Making	Eden, Karen	3	Online	Online	Online	Winter 19
21364	BMI	544-DL	Databases	Fletcher, Justin	3	Online	Online	Online	Winter 19
21365	BMI	551-0	BCB II: Statistical Methods	McWeeney, Shannon	4	0900-1020	T,Th	Portland	Winter 19
21616	BMI	552A-0	Research Methods/Bioinformatic	Boudreau, Eilis	1-2	0930-1155	F	Portland	Winter 19
21547	BMI	560-DL	Design & Eval in Health Inform	Mohan, Vishnu	3	Online	Online	Online	Winter 19
21624	BMI	605F-0	Reading and Conference-Fellows	Weiskopf\Wu	1-6	1245-1345	Th	Portland	Winter 19
21451	BMI	610-DL	Intro to Biomed Informatics	Hersh, Bill	3	Online	Online	Online	Winter 19
21926	BMI	616-DL	Standards/Interoperability HC	Orwoll, Benjamin	3	Online	Online	Online	Winter 19
21452	BMI	618-DL	Project Management	McCormack, James	3	Online	Online	Online	Winter 19
21546	BMI	620-DL	Consumer Health Informatics	Valerius, Joanne	3	Online	Online	Online	Winter 19
21734	BMI	635-0	Mgmt & Processing Large Data	Mooney\Zheng	3	1300-1430	T,F	Portland	Winter 19
21453	BMI	638-DL	Medical Decision Making	Eden, Karen	3	Online	Online	Online	Winter 19
21456	BMI	644-DL	Databases	Fletcher, Justin	3	Online	Online	Online	Winter 19
21457	BMI	651-0	BCB II: Statistical Methods	McWeeney, Shannon	4	0900-1020	T,Th	Portland	Winter 19
21617	BMI	652A-0	Research Methods/Bioinformatic	Boudreau, Eilis	1-2	0930-1155	F	Portland	Winter 19
21548	BMI	660-DL	Design & Eval. in Health Infor	Mohan, Vishnu	3	Online	Online	Online	Winter 19
20958	CANB	606-0	Mechanisms/Cancer Jrl Club	Qian\Agarwal	1	1200-1255	T	Portland	Winter 19
21681	CANB	606A-0	Tumor Microenvironment JC	Lund, Amanda	1	0900-0955	W	Portland	Winter 19
20959	CANB	607-0	Cancer Biology Seminar Series	Oshimori\Sherman	1	1600-1700	M	Portland	Winter 19
21703	CANB	610NN-0	Intro Single Cell 'Omics Data	Adey, Andrew	.5	1000-1200	M,W	Portland	Winter 19
21041	CANB	613A-0	Tissue Biology	Schnapp\Nechiporuk\Adey	4	1000-1125	T,Th	Portland	Winter 19
21042	CANB	613B-0	Current Topics/Tissue Biology	Schnapp\Nechiporuk\Adey	1	1000-1125	T,Th	Portland	Winter 19
21000	CELL	606-0	Cell & Develop Bio JC	Nechiporuk, Alex	1	0900-0955	T	Portland	Winter 19
21001	CELL	607A-0	Departmental Seminar Series	Oshimori\Sherman	1	1600-1655	M	Portland	Winter 19
21702	CELL	610NN-0	Intro Single Cell 'Omics Data	Adey, Andrew	.5	1000-1200	M,W	Portland	Winter 19
21039	CELL	613A-0	Tissue Biology	Schnapp\Nechiporuk\Adey	4	1000-1125	T,Th	Portland	Winter 19
21040	CELL	613B-0	Current Topics/Tissue Biology	Schnapp\Nechiporuk\Adey	1	1000-1125	T,Th	Portland	Winter 19
20899	CONJ	601-0	PMCB Research (1st Yr Only)	Duvoisin, Robert	1-16	TBA	TBA	Portland	Winter 19
21712	CONJ	606MD-0	MD/PhD Journal Club	Jacoby, David	.5	1200-1300	W	Portland	Winter 19
20900	CONJ	607E-0	PMCB Seminar	Duvoisin, Robert	1	1200-1330	M	Portland	Winter 19
21918	CS	562-0	Natural Language Processing	Bedrick, Steven	3	1615-1745	T,Th	Portland	Winter 19
22051	CS	606-XS	Advanced Machine Learning	Song, Xubo	2	1200-1330	M,W	Portland	Winter 19
21919	CS	662-0	Natural Language Processing	Bedrick, Steven	3	1615-1745	T,Th	Portland	Winter 19
21916	CS	692-0	Research Ethics for CS & EE	Dolata, Jill	1	1300-1400	Th	Portland	Winter 19
22052	EE	606-XS	Advanced Machine Learning	Song, Xubo	2	1200-1330	M,W	Portland	Winter 19
21920	EE	682-0	Digital Signal Processing	Kain\Jacobs	3	1430-1600	T,Th	Portland	Winter 19
21917	EE	692-0	Research Ethics for CS & EE	Dolata, Jill	1	1300-1400	Th	Portland	Winter 19
20977	MBIM	605C-0	Immunology Journal Club	Davey, Michael	1	0830-0925	Th	Portland	Winter 19
20978	MBIM	605E-0	Virology Jrnl Club-Primate Ctr	Streblow, Daniel	1	1200-1300	T	Portland	Winter 19
20979	MBIM	605F-0	Micro/Path Mole/Genetics JC	Nice, Tim	2	1600-1700	W	Portland	Winter 19
20980	MBIM	607-0	Dept Seminar Series	Lind, Evan	1	1200-1300	M	Portland	Winter 19
20981	MBIM	610-0	Introduction to Immunology	Lind, Evan	2	1500-1700	Th	Portland	Winter 19
21218	MGEN	605E-0	Molecular/Medical Genetics JC	Moore, Stephen	1	1030-1130	Th	Portland	Winter 19
21219	MGEN	606-0	Mechanisms/Cancer JC	Qian\Agarwal	1	1200-1255	T	Portland	Winter 19
21220	MGEN	607A-0	Departmental Seminar Series	Gillingham, Melanie	1	1600-1700	W	Portland	Winter 19
21556	MGEN	610-0	Essentials Molecular & Med Gen	Ralle, Martina	2	1500-1600	T,Th	Portland	Winter 19
22039	MGEN	610NN-0	Intro Single Cell 'Omics Data	Adey, Andrew	.5	1000-1200	M, W	Portland	Winter 19
21221	MGEN	611-0	Departmental Grand Rounds	Zonana, Jon	1	0900-1000	Th	Portland	Winter 19
21222	MGEN	624-0	Gene and Cell Therapy	Nakai\Ma	2	1400-1500	M,F	Portland	Winter 19
21212	MGT	508-HY	Ethics in H/C Organizations	Tsukuda\Gorsuch	2			Portland	Winter 19
21213	MGT	518-HY	Quality & Safety in Healthcare	Huntzicker, James	4			Portland	Winter 19
21649	MGT	536-0	Career Conversations	Walter, Jessica	1			Online	Winter 19
21214	MGT	553-HY	Capstone Proj in Healthcare I	Sakaguchi\Kinder	2		F,	Portland	Winter 19
21216	MGT	560-HY	Org/Fin/Hist of Hlthcare Deliv	Huntzicker\Lones	4		F,	Portland	Winter 19
21217	MGT	570-HY	Operations Mgmt in Healthcare	Hawley\Othus	4			Portland	Winter 19
21653	MP	507-0	Seminar: Radiation Therapy	Crilly, Richard	1	0900-1000	T	Portland	Winter 19
21650	MP	541-0	Diagnostic Imaging Physics I	DeWeese\Griglock	3	1400-1515	T,Th	Portland	Winter 19
21696	MP	544-0	Nuclear Medicine Imaging	Griglock, Thomas	3	1300-1600	W	Portland	Winter 19
21651	MP	561-0	Radiation Therapy Physics I	Pugachev, Andrei	3	1530-1700	M,W	Portland	Winter 19
21697	MP	564-0	Appl'd Rad Therapy Phys Lab II	Pugachev, Andrei	3	TBA	TBA	Portland	Winter 19
21652	MP	570-0	Rad Biology/Medical Physicists	DeWeese, Lindsay	4	1630-1830	T	Portland	Winter 19
21176	NEUS	606-0	Biophysics Journal Club	Trussell, Laurence	1	0900-1000	Th	Portland	Winter 19
21177	NEUS	606-01	Cell Neuroscience Jrnl Club	Jackman, Skyler	1	1600-1700	F	Portland	Winter 19
21178	NEUS	606-02	Neurophy/Hormones/Behav JC	Kelly, Martin	.5	1030-1130	M	Portland	Winter 19
21179	NEUS	606-03	OHRC Journal Club	Trussell, Laurence	1	1600-1700	T	Portland	Winter 19
21180	NEUS	606-04	Glia Cell Journal Club	Robinson, Fred	1	TBA	TBA	Portland	Winter 19
21513	NEUS	606-05	Systems Neuroscience JC	David, Stephen	1	1600-1700	F	Portland	Winter 19
21583	NEUS	606-06	EM Study Group/JC	Gouaux, Eric	1	1330-1430	F	Portland	Winter 19
21181	NEUS	607-0	NGP Seminar Course	Westbrook, Gary	2	1030-1130	Th	Portland	Winter 19
20893	NUTN	500-0	Community Outreach Project	DeFrancesco, Carol	1	TBA	TBA	Portland	Winter 19
20895	NUTN	504-0	Supervised Practice Rotation	Jackson, Alexandra	6	0800-1625	T-F	Portland	Winter 19
21576	NUTN	507-0	Nutrition Seminar	TBA	1	1100-1300	Th	Portland	Winter 19
20898	NUTN	511-0	Path/Medical Nutrition Therapy	McGuire, Julie	3	0900-1200	M	Portland	Winter 19
22049	NUTN	514B-0	Nutn Research/Scientifi Commun	Stadler, Diane	2	1300-1430	M	Portland	Winter 19
21735	NUTN	528-0	I-CAN Nutrition	McGuire, Julie	1	TBA	TBA	Portland	Winter 19
22048	NUTN	530-0	Maternal/Infant/Child Nutn	van Calcar, Sandra	3	1445-1615	M	Portland	Winter 19
21695	NUTN	534-0	Motiva Interview Hlth Care Pro	DeFrancesco, Carol	2	1730-1930	T	Portland	Winter 19
22141	NUTN	537-0	Sports Nutrition Practicum	Jackson, Alexandra	1	TBA	TBA	Portland	Winter 19
21761	NUTN	634-0	Motiva Interview Hlth Care Pro	Stadler\DeFrancesco	2	1730-1930	T	Portland	Winter 19
20946	PHPH	606-0	PHPH Journal Club	Cohen, Michael	1	1600-1655	T	Portland	Winter 19
21558	PHPH	606-01	Neurophy/Neuroendo/Behav JC	Kelly, Martin	1	1000-1130	M	Portland	Winter 19
21928	PHPH	606-03	PH2 Chemistry Journal Club	Cohen\Ferrara	1	1100-1300	M	Portland	Winter 19
20947	PHPH	607-0	Departmental Seminar Series	Duvoisin, Robert	1	1600-1700	Th	Portland	Winter 19
21927	PHPH	617-0	Pharmacokinetics	Scanlan, Tom	2	1100-1200	T,Th	Portland	Winter 19
22046	PHYS	510B-HN	Adv Human Physiology	Cameron, William	3	0900-1200	T	Portland	Winter 19
